"Txhash","Blockno","UnixTimestamp","DateTime","From","To","ContractAddress","Value_IN(ETH)","Value_OUT(ETH)","CurrentValue @ $1272.79/Eth","TxnFee(ETH)","TxnFee(USD)","Historical $Price/Eth","Status","ErrCode","Method"
"0x99b7bdb2b049b833107aa50126d155214ab5c971d1b343631074430a38f0aba1","14174459","1644444145","2022-02-09 22:02:25","0x7a7ffae77cc429c678c8c5d384d90fbd0e77e14b","0xa6e8c7b060c1c3a4b764864269dc2214e7fddee0","","0.15","0","190.9185","0.0229821307015598","29.2514261356383","3246.72","","","Whitelist Mint",""
"0x45c85ee66eadb9ca0c27854069c8434adebea315621c51c6505858a213c197ef","14174459","1644444145","2022-02-09 22:02:25","0xcd10eddf3fa643fe5802e70a24671c7f3bb169b4","0xa6e8c7b060c1c3a4b764864269dc2214e7fddee0","","0.15","0","190.9185","0.023133030326059","29.4434896687046","3246.72","","","Whitelist Mint",""
"0x9fd0e42b378ad8a1ab68d84161040fb1c5884bf421797cc6977073f15e76ecea","14174459","1644444145","2022-02-09 22:02:25","0x057b1ed9c5176ffd56e81e571c9e8be80b12697f","0xa6e8c7b060c1c3a4b764864269dc2214e7fddee0","","0.3","0","381.837","0.03635938241341388","46.2778583419691","3246.72","","","Whitelist Mint",""
"0x268002e9efadd09a6e20ece138ba7bd3e25980c8a3da60a55105c8d22b654dfe","14174460","1644444150","2022-02-09 22:02:30","0x602654b8573f3f050b4d0a3424b2acf87287a134","0xa6e8c7b060c1c3a4b764864269dc2214e7fddee0","","0.15","0","190.9185","0.0243887787","31.041793641573","3246.72","","","Whitelist Mint",""
"0x3133fc487b35c4e9aaa390611839716d3e20925281e5401bbe8a87f1a0544237","14174460","1644444150","2022-02-09 22:02:30","0x0cac898b6fd0cb816720a51485c28d835509cbbb","0xa6e8c7b060c1c3a4b764864269dc2214e7fddee0","","0.15","0","190.9185","0.02350671903816012","29.9191169245798","3246.72","","","Whitelist Mint",""
"0x895c5c1444335d18322e240e6640d38e9b8aa852614fe7c2259417f351edcc4c","14174460","1644444150","2022-02-09 22:02:30","0xc5a3601c21ad14ba53ae922e547d6f338bef3e99","0xa6e8c7b060c1c3a4b764864269dc2214e7fddee0","","0.3","0","381.837","0.03602834195076924","45.8565133515196","3246.72","","","Whitelist Mint",""
"0x835bed25ac995ff89c6abf64b4b052b68de97bb0d5e995d857e85f7d2cd20785","14174460","1644444150","2022-02-09 22:02:30","0x2e78a6107d82151384ee66f7e6a0f6712d89b328","0xa6e8c7b060c1c3a4b764864269dc2214e7fddee0","","0.15","0","190.9185","0.02218235578443168","28.2334806188668","3246.72","","","Whitelist Mint",""
"0xfdbfabb1385030f21cb182210245eaf32ce104044cdb4395be8472b8781862b7","14174460","1644444150","2022-02-09 22:02:30","0x711fe1d2528aa7a3510b8452f9a7085db4a34b2b","0xa6e8c7b060c1c3a4b764864269dc2214e7fddee0","","0.15","0","190.9185","0.02292177543014604","29.1746065497356","3246.72","","","Whitelist Mint",""
"0x3eaced1ab46d3c60843122552de640c15785b7d0b3ca82433108837f73021eeb","14174460","1644444150","2022-02-09 22:02:30","0xcc5fd8152f65b9767d0e9abdcb7e3a64206251c9","0xa6e8c7b060c1c3a4b764864269dc2214e7fddee0","","0.15","0","190.9185","0.02291920597315572","29.1713361705729","3246.72","","","Whitelist Mint",""
"0x153f1f3f1a9a66b1044c624621766fc6ffde75755aa2bde17672ed0275bf575d","14174460","1644444150","2022-02-09 22:02:30","0x6cdba63617de2ddafd9f156795f78c6da578a4ac","0xa6e8c7b060c1c3a4b764864269dc2214e7fddee0","","0.15","0","190.9185","0.0227741484467022","28.9867084014781","3246.72","","","Whitelist Mint",""
"0x25045b2adc3420d8b496d21175be45041523f0343935f9364e2fd10b2c3b0509","14174460","1644444150","2022-02-09 22:02:30","0xc9b918316a408a3119877f94d521f068dc984fdf","0xa6e8c7b060c1c3a4b764864269dc2214e7fddee0","","0.15","0","190.9185","0.02270333843971188","28.8965821326809","3246.72","","","Whitelist Mint",""
"0x8b74f029f21e54126b10856e9095291380a6052f7e69e1ca633615da1f2c8f5d","14174460","1644444150","2022-02-09 22:02:30","0x42cfad73122bafc1c100665efb5f57b346e22e3e","0xa6e8c7b060c1c3a4b764864269dc2214e7fddee0","","0.3","0","381.837","0.03587177658077804","45.6572385142485","3246.72","","","Whitelist Mint",""
"0x887078cbaa9575b853fdcac8013f099f66d0416f3b27d689da95301231d49fe9","14174460","1644444150","2022-02-09 22:02:30","0xd9239f26400728ae4b7f2b144d7ead7506ba567a","0xa6e8c7b060c1c3a4b764864269dc2214e7fddee0","","0.15","0","190.9185","0.02281806384216716","29.0426034776719","3246.72","","","Whitelist Mint",""
"0x27a4540422b495dddceea435c9c147136570e5cad8ca8a64ad0fb32a157239a2","14174460","1644444150","2022-02-09 22:02:30","0x3b55b766763a52acd8c34a706230c02521510b22","0xa6e8c7b060c1c3a4b764864269dc2214e7fddee0","","0.15","0","190.9185","0.02266944074972948","28.8534374918482","3246.72","","","Whitelist Mint",""
"0xc00ff6da233943c5c96de74d5c59c923ea79ba376d2dc183af4979c6d77abd05","14174460","1644444150","2022-02-09 22:02:30","0xa5630b6359cb47bac0aaf1fd444fc2005493724f","0xa6e8c7b060c1c3a4b764864269dc2214e7fddee0","","0.15","0","190.9185","0.02282015712515924","29.0452677873314","3246.72","","","Whitelist Mint",""
"0x2af80a87278a02ae815276243bab863630f41a9026d14de1082e81208a5ac97c","14174460","1644444150","2022-02-09 22:02:30","0x4cb9f9e4f1878626edd77cafcdcbccb52aad2b04","0xa6e8c7b060c1c3a4b764864269dc2214e7fddee0","","0.15","0","190.9185","0.02281713349417068","29.0414193400455","3246.72","","","Whitelist Mint",""
"0x5b2a286c302820e56bcd006a5210af3b29fe00521c30d305b18dd99220c866a2","14174460","1644444150","2022-02-09 22:02:30","0x043191e1d816f131b0458c556b0faf36df9b4780","0xa6e8c7b060c1c3a4b764864269dc2214e7fddee0","","0.3","0","381.837","0.0358666596667974","45.6507257573031","3246.72","","","Whitelist Mint",""
"0x02b921cb709d5efaa905f14ff8067253b0ff8e6928ada9c3de643029fadeb621","14174460","1644444150","2022-02-09 22:02:30","0x3c704dc8e33c8130e5df06f4500cb70fc65f3535","0xa6e8c7b060c1c3a4b764864269dc2214e7fddee0","","0.15","0","190.9185","0.02282597180013724","29.0526686474967","3246.72","","","Whitelist Mint",""
"0x29228f670275778e9fa213f4d29210eca57096701c5aa051f1b21d160af75c5a","14174460","1644444150","2022-02-09 22:02:30","0x11c1eb74f0caefc3b70e387c7042e47b04324916","0xa6e8c7b060c1c3a4b764864269dc2214e7fddee0","","0.3","0","381.837","0.03586875294978948","45.6533900669626","3246.72","","","Whitelist Mint",""
"0x547d4a048e8621f81f0d5e35f5a5a4d7e63b04c183a5ca7adaec07087a3cbd6a","14174460","1644444150","2022-02-09 22:02:30","0x24158ad0e00a13f709dfb8f52ab81ec5f63863dc","0xa6e8c7b060c1c3a4b764864269dc2214e7fddee0","","0.15","0","190.9185","0.0228162031461742","29.0402352024191","3246.72","","","Whitelist Mint",""
"0x0e5892eba5568a69400cc4471b44718a9aa426dad8a74e91a93b4b21f30d9f1a","14174460","1644444150","2022-02-09 22:02:30","0x1476cdb185af15e7ba46c3455b33f4482fc906db","0xa6e8c7b060c1c3a4b764864269dc2214e7fddee0","","0.15","0","190.9185","0.02281410986318212","29.0375708927596","3246.72","","","Whitelist Mint",""
"0xad793cfb75004d6796ef76a7eacfd283f69c2b78c9169fd3c73e21c3afc48614","14174460","1644444150","2022-02-09 22:02:30","0xb97935b3dcb845b14090eb580549266af7928ee1","0xa6e8c7b060c1c3a4b764864269dc2214e7fddee0","","0.15","0","190.9185","0.02237824182683124","28.4828024147725","3246.72","","","Whitelist Mint",""
"0x33fc7cc40aad9ad9adf6f5dd1767b1f72ab0ada8ebfd0246999f0d7a8a2b81b0","14174460","1644444150","2022-02-09 22:02:30","0x17936f4615fee84b5c68e6ea1016d044e8065cfb","0xa6e8c7b060c1c3a4b764864269dc2214e7fddee0","","0.15","0","190.9185","0.02281573797217596","29.0396431336058","3246.72","","","Whitelist Mint",""
"0xc071c646f2355c0957e3ed3b867c40afbf45aef3e505518df1dddaf42143b59d","14174460","1644444150","2022-02-09 22:02:30","0x328cb71c43410bb0c92ca0a820e576ef0556287c","0xa6e8c7b060c1c3a4b764864269dc2214e7fddee0","","0.15","0","190.9185","0.02266688229273916","28.8501811133755","3246.72","","","Whitelist Mint",""
"0x211c5981c9847788eafdd445a0c60a3d379ac7e9e8f66bff09913c77b633c7c2","14174460","1644444150","2022-02-09 22:02:30","0x132bac0937661a82f3767d572c90bab541caeff5","0xa6e8c7b060c1c3a4b764864269dc2214e7fddee0","","0.15","0","190.9185","0.0220876243714308","28.1129074237134","3246.72","","","Whitelist Mint",""
"0x7089c3bb58f95a1aa89abd6f6a92a054d8c09b9497bef2ed5ad8329fface915c","14174460","1644444150","2022-02-09 22:02:30","0xdfef8515475bfb1e66694b66182b62cf77e6ce64","0xa6e8c7b060c1c3a4b764864269dc2214e7fddee0","","0.15","0","190.9185","0.02282132006015484","29.0467479593645","3246.72","","","Whitelist Mint",""
"0xbf870912535add87003e3d2ad2d1190012db9a7fb52eaadaf5ffd55ad1637bd9","14174460","1644444150","2022-02-09 22:02:30","0x049894c74ed994d904ce34e56c4e45ce150af15c","0xa6e8c7b060c1c3a4b764864269dc2214e7fddee0","","0.3","0","381.837","0.0357247815973342","45.470144769271","3246.72","","","Whitelist Mint",""
"0x9f46f754bc0e86417952698481cd25dc4c0c96aae009214616152a7aa8f53219","14174460","1644444150","2022-02-09 22:02:30","0x7cc39d591900a12cefc844a5ac59929f2cde848c","0xa6e8c7b060c1c3a4b764864269dc2214e7fddee0","","0.15","0","190.9185","0.02281783125516804","29.0423074432653","3246.72","","","Whitelist Mint",""
